,total,white,blk_af_am,am_indian_alas_nat,asian,nat_haw_pac_island,other,two_or_more,GEO_ID,County,perc_white,perc_blk_af_am,perc_am_indian_alas_nat,perc_asian,perc_nat_haw_pac_island,perc_other,perc_two_or_more,fips
314,113510,87179,17644,102,2390,0,1769,4426,0500000US24037,"St. Mary's County, Maryland",0.768029248524359,0.15544004933486036,0.0008985992423575015,0.02105541361994538,0.0,0.015584529997357061,0.038992159281120604,24037
315,151049,121625,18086,109,3125,111,2104,5889,0500000US24043,"Washington County, Maryland",0.8052022853511113,0.11973597971519176,0.0007216201365119928,0.02068865070275209,0.0007348608729617541,0.013929254745148925,0.03898734847632225,24043
316,103609,67608,26744,785,3333,56,2332,2751,0500000US24045,"Wicomico County, Maryland",0.6525301856016369,0.2581242942215445,0.007576561881689815,0.032169020065824394,0.0005404935864644963,0.022507697207771526,0.02655174743506838,24045
317,593490,179979,371243,2206,15776,243,11425,12618,0500000US24510,"Baltimore city, Maryland",0.30325532022443513,0.6255252826500868,0.00371699607407033,0.02658174526950749,0.00040944245058888943,0.019250534971103135,0.02126067836020826,24510
318,212990,194743,6639,1590,2294,0,2589,5135,0500000US25001,"Barnstable County, Massachusetts",0.9143293112352693,0.031170477487205972,0.007465139208413541,0.010770458706981548,0.0,0.012155500258228086,0.02410911310390159,25001
319,124944,111686,3863,173,2121,0,3009,4092,0500000US25003,"Berkshire County, Massachusetts",0.8938884620309899,0.030917851197336407,0.0013846203098988347,0.01697560507107184,0.0,0.024082789089512103,0.032750672301190935,25003
320,565217,474159,28293,1814,13244,89,31747,15871,0500000US25005,"Bristol County, Massachusetts",0.8388972730827275,0.05005688080860979,0.0032093868372678105,0.023431708529644366,0.00015746164747344824,0.05616780811617485,0.028079480978102214,25005
321,789034,609454,35703,1863,28130,208,92425,21251,0500000US25009,"Essex County, Massachusetts",0.7724052448943899,0.04524900067677692,0.002361114983638221,0.03565118866867587,0.00026361348180179816,0.11713690411313074,0.0269329331815866,25009
322,70180,64622,912,63,1030,0,1228,2325,0500000US25011,"Franklin County, Massachusetts",0.9208036477628954,0.01299515531490453,0.0008976916500427472,0.014676546024508406,0.0,0.01749786263892847,0.03312909660872043,25011
323,466372,372569,41626,976,11951,267,20863,18120,0500000US25013,"Hampden County, Massachusetts",0.7988665700342216,0.0892549295412246,0.002092749993567367,0.02562546636590533,0.0005725043527484497,0.04473467532356145,0.038853104388771195,25013
324,160830,139472,3331,196,9022,332,2127,6350,0500000US25015,"Hampshire County, Massachusetts",0.8672013927749798,0.020711310078965366,0.0012186781073182864,0.05609649940931418,0.002064291487906485,0.013225144562581607,0.03948268357893428,25015
325,1611699,1213313,87408,4257,199515,958,53018,53230,0500000US25017,"Middlesex County, Massachusetts",0.7528161275771716,0.05423345177976781,0.002641312056407555,0.12379172537800172,0.0005944037937604975,0.032895720602916546,0.03302725881197419,25017
326,706775,536931,51241,1540,83177,243,11483,22160,0500000US25021,"Norfolk County, Massachusetts",0.7596915567188992,0.0724997347104807,0.002178911251812812,0.11768526051430794,0.00034381521700682676,0.01624703760036787,0.03135368398712462,25021
327,521202,427519,59873,1168,8497,0,12369,11776,0500000US25023,"Plymouth County, Massachusetts",0.8202558700849191,0.1148748469883078,0.0022409737491414076,0.01630270029662204,0.0,0.023731681766378486,0.02259392711463118,25023
328,803907,443334,178818,1814,71580,616,44334,63411,0500000US25025,"Suffolk County, Massachusetts",0.5514742376916733,0.22243617731901824,0.002256479916209213,0.08904015016662375,0.0007662577885252897,0.055148170124156154,0.07887852699379405,25025
329,830622,693808,42274,2304,42327,285,23453,26171,0500000US25027,"Worcester County, Massachusetts",0.8352872907291162,0.050894389987262555,0.002773824916749135,0.0509581975916843,0.0003431163633999581,0.02823546691515515,0.031507713496632644,25027
330,118081,110852,1825,554,372,0,664,3814,0500000US26005,"Allegan County, Michigan",0.9387793125058222,0.015455492416222762,0.004691694684157485,0.0031503798240191056,0.0,0.005623258610614748,0.03229986195916362,26005
331,103126,97404,1778,204,406,0,553,2781,0500000US26017,"Bay County, Michigan",0.9445144774353703,0.017241044935321838,0.001978162635998681,0.003936931520664042,0.0,0.005362372243663092,0.026967011228982023,26017
332,153401,121331,22252,876,2557,0,1338,5047,0500000US26021,"Berrien County, Michigan",0.790940085136342,0.14505772452591573,0.005710523399456327,0.01666873097307058,0.0,0.008722237795060006,0.03290069817015535,26021
333,134159,107815,14238,812,3765,0,1374,6155,0500000US26025,"Calhoun County, Michigan",0.8036359841680394,0.10612780357635343,0.006052519771316125,0.028063715442124642,0.0,0.010241579021906842,0.045878398020259545,26025
334,79595,73461,1786,114,1167,0,994,2073,0500000US26037,"Clinton County, Michigan",0.9229348577171933,0.02243859538915761,0.0014322507695206986,0.014661724982725045,0.0,0.012488221621961178,0.026044349519442175,26037
335,110268,95546,8178,939,2591,0,135,2879,0500000US26045,"Eaton County, Michigan",0.8664889179090942,0.07416476221569268,0.008515616497986723,0.023497297493379764,0.0,0.0012242899118511264,0.0261091159719955,26045
336,405813,301546,81575,2048,3919,91,1845,14789,0500000US26049,"Genesee County, Michigan",0.7430663877204525,0.20101623161406854,0.005046659421950504,0.009657157360656263,0.00022424121454955854,0.004546429020263028,0.036442893648059575,26049
337,93088,88601,853,531,538,177,0,2388,0500000US26055,"Grand Traverse County, Michigan",0.9517982983843245,0.009163372292884152,0.005704279821244414,0.005779477483671365,0.0019014266070814714,0.0,0.02565314541079409,26055
338,292406,218215,36629,2002,20590,0,2198,12772,0500000US26065,"Ingham County, Michigan",0.7462740162650561,0.12526760736783787,0.006846644733692195,0.07041579174161954,0.0,0.007516945616711012,0.043678994275083274,26065
339,69872,61646,2098,2292,1275,0,171,2390,0500000US26073,"Isabella County, Michigan",0.882270437371193,0.030026333867643692,0.03280283947790245,0.01824765285092741,0.0,0.0024473322647126173,0.034205404167620794,26073
340,158510,138115,10910,488,1583,0,644,6770,0500000US26075,"Jackson County, Michigan",0.8713330389249889,0.06882846508106744,0.0030786701154501294,0.009986751624503186,0.0,0.004062835152356318,0.04271023910163397,26075
341,265066,211916,31139,521,6344,0,2396,12750,0500000US26077,"Kalamazoo County, Michigan",0.7994839021224902,0.11747640210362702,0.001965548203089042,0.023933661804984418,0.0,0.009039258147027532,0.04810122761878174,26077
342,656955,520702,60661,1631,19244,48,21116,33553,0500000US26081,"Kent County, Michigan",0.7925991886811121,0.09233661361889323,0.00248266624045787,0.029292721723710148,7.306436513916478e-05,0.032142231964137576,0.05107351340654991,26081
343,87607,83183,1264,165,625,0,830,1540,0500000US26087,"Lapeer County, Michigan",0.9495017521430936,0.014428070816258975,0.0018834111429451984,0.007134133117216661,0.0,0.009474128779663726,0.01757850400082185,26087
344,98451,92654,1889,336,361,47,367,2797,0500000US26091,"Lenawee County, Michigan",0.9411179165270033,0.01918720988105758,0.0034128652832373465,0.003666798712049649,0.00047739484616712884,0.003727742734964602,0.028410072015520413,26091
345,191995,185219,888,569,2191,0,328,2800,0500000US26093,"Livingston County, Michigan",0.9647074142555796,0.004625120445844944,0.0029636188442407354,0.011411755514466522,0.0,0.0017083778223391235,0.014583713117529103,26093
346,873972,697499,102177,3137,38878,675,5450,26156,0500000US26099,"Macomb County, Michigan",0.7980793435029955,0.11691106808913787,0.0035893598421917407,0.04448426265372346,0.000772335955842979,0.0062358977175470155,0.02992773223856142,26099
347,66699,62116,1074,491,433,39,153,2393,0500000US26103,"Marquette County, Michigan",0.9312883251622963,0.016102190437637744,0.007361429706592303,0.0064918514520457575,0.0005847164125399181,0.0022938874645796786,0.03587759936430831,26103
348,83156,77214,1125,413,1964,0,823,1617,0500000US26111,"Midland County, Michigan",0.9285439415075281,0.01352878926355284,0.004966568858530954,0.023618259656549137,0.0,0.009897060945692433,0.019445379768146615,26111
349,150500,141315,3215,618,595,0,490,4267,0500000US26115,"Monroe County, Michigan",0.9389700996677741,0.021362126245847175,0.004106312292358804,0.003953488372093023,0.0,0.0032558139534883722,0.02835215946843854,26115
350,173566,140494,23136,1513,772,65,1392,6194,0500000US26121,"Muskegon County, Michigan",0.8094557689870135,0.13329799615131996,0.008717145062973162,0.00444787573603125,0.0003744973093808695,0.008020003917818005,0.035686712835463166,26121
351,1257584,942056,170588,3368,101642,172,7179,32579,0500000US26125,"Oakland County, Michigan",0.7490998613213908,0.13564740009414877,0.002678151121515541,0.08082322930317179,0.0001367701879158768,0.005708564994465579,0.02590602297739157,26125
352,291830,260091,5010,879,8595,0,9880,7375,0500000US26139,"Ottawa County, Michigan",0.8912414762018984,0.017167529040879963,0.0030120275502861253,0.02945207826474317,0.0,0.03385532673131618,0.025271562210876196,26139
353,190539,144761,35251,752,2517,0,2174,5084,0500000US26145,"Saginaw County, Michigan",0.7597447241772025,0.18500674402615738,0.003946698576144516,0.013209894037441154,0.0,0.011409737639013534,0.026682201544040853,26145
354,159128,148702,4789,246,962,133,1213,3083,0500000US26147,"St. Clair County, Michigan",0.9344804182796239,0.030095269217233926,0.0015459252928460108,0.006045447689910009,0.0008358051380021115,0.0076227942285455735,0.019374340153838418,26147
356,75677,67466,2493,172,513,0,2376,2657,0500000US26159,"Van Buren County, Michigan",0.8914993987605216,0.03294263778955297,0.002272817368553193,0.006778809942254582,0.0,0.031396593416758066,0.035109742722359505,26159
357,367601,270532,44448,1564,33018,0,2391,15648,0500000US26161,"Washtenaw County, Michigan",0.7359392384677953,0.12091370806934693,0.004254613017918885,0.08982021267624409,0.0,0.006504334863071646,0.04256789290562322,26161
358,1749343,922540,674108,7182,61182,110,38571,45650,0500000US26163,"Wayne County, Michigan",0.5273637016868619,0.3853492425442009,0.004105541337519286,0.034974273198566545,6.288075008731849e-05,0.022048849196526926,0.026095511286237175,26163
